"type","receptacle"
"cans", "blue bin"
"can", "blue bin"
"container", "blue bin"
"soap bottles", "blue bin"
"jars", "blue bin"
"buckets", "blue bin"
"aluminum", "blue bin"
"glass", "blue bin"
"bottle", "blue bin"
"foil", "blue bin"
"paper", "blue bin"
"magazine", "blue bin"
"food", "green bin"
"newspaper", "blue bin"
"fruits", "green bin"
"vegetables", "green bin"
"banana", "green bin"
"carrots", "green bin"
"bananas", "green bin"
"carrot", "green bin"
"styrafoam", "trash can"
"plastic bags", "trash can"
"plasticbags", "trash can"
"shrinkwrap", "trash can"
"HELLAtoxicwaste", "wildcard"
"lightbulbs", "bulb"
"cardboard", "cardboard"
"motor oil", "wildcard"